table_name,column_name,foreign_table,foreign_column
ad_campaigns,sponsor_id,sponsors,id
ad_creatives,media_asset_id,media_assets,id
ad_creatives,campaign_id,ad_campaigns,id
ad_flights,creative_id,ad_creatives,id
ad_flights,campaign_id,ad_campaigns,id
ad_flights,placement_id,ad_placements,id
areas,city_id,cities,id
blog_posts,content_index_record_id,content_index,id
blog_posts,sponsor_business_id,business_listings,id
blog_posts,author_id,authors,id
blog_posts,neighborhood_id,neighborhoods,id
blog_posts,category_id,categories,id
blog_posts,pillar_id,pillars,id
business_amenities,amenity_id,amenities,id
business_amenities,business_id,business_listings,id
business_contacts,business_id,business_listings,id
business_hours,business_id,business_listings,id
business_identities,identity_option_id,business_identity_options,id
business_identities,business_id,business_listings,id
business_images,media_asset_id,media_assets,id
business_images,business_id,business_listings,id
business_listings,neighborhood_id,neighborhoods,id
business_listings,city_id,cities,id
business_listings,category_id,categories,id
business_listings,parent_brand_id,brands,id
business_listings,claimed_by,users,id
business_organizations,organization_id,organizations,id
business_organizations,business_id,business_listings,id
business_tags,tag_id,tags,id
business_tags,business_id,business_listings,id
claims,reviewed_by,users,id
claims,user_id,users,id
claims,business_id,business_listings,id
content_calendar,story_id,stories,id
content_calendar,post_id,blog_posts,id
content_history,post_id,blog_posts,id
content_history,story_id,stories,id
content_history,neighborhood_id,neighborhoods,id
content_history,category_id,categories,id
content_performance,post_id,blog_posts,id
event_images,media_asset_id,media_assets,id
event_images,event_id,events,id
event_tags,event_id,events,id
event_tags,tag_id,tags,id
events,pillar_id,pillars,id
events,submitted_by,users,id
events,category_id,categories,id
events,neighborhood_id,neighborhoods,id
events,organizer_business_id,business_listings,id
events,venue_business_id,business_listings,id
events,city_id,cities,id
featured_slots,created_by,users,id
headline_variants,post_id,blog_posts,id
media_assets,uploaded_by,users,id
media_item_assets,asset_id,media_assets,id
media_item_assets,media_item_id,media_items,id
media_item_links,media_item_id,media_items,id
neighborhoods,area_id,areas,id
newsletter_posts,newsletter_id,newsletters,id
newsletter_posts,post_id,blog_posts,id
newsletter_posts,section_id,newsletter_sections,id
newsletter_sections,newsletter_id,newsletters,id
newsletters,newsletter_type_id,newsletter_types,id
newsletters,sponsor_business_id,business_listings,id
post_businesses,post_id,blog_posts,id
post_businesses,business_id,business_listings,id
post_categories,post_id,blog_posts,id
post_categories,category_id,categories,id
post_events,post_id,blog_posts,id
post_events,event_id,events,id
post_images,post_id,blog_posts,id
post_images,media_asset_id,media_assets,id
post_neighborhoods,post_id,blog_posts,id
post_neighborhoods,neighborhood_id,neighborhoods,id
post_source_stories,post_id,blog_posts,id
post_source_stories,story_id,stories,id
post_sponsors,sponsor_id,sponsors,id
post_sponsors,post_id,blog_posts,id
post_tags,post_id,blog_posts,id
post_tags,tag_id,tags,id
reviews,user_id,users,id
reviews,moderated_by,users,id
reviews,business_id,business_listings,id
saved_items,user_id,users,id
scripts,neighborhood_id,neighborhoods,id
scripts,script_batch_id,script_batches,id
scripts,story_id,stories,id
scripts,pillar_id,pillars,id
seo_content_calendar,category_id,categories,id
seo_content_calendar,content_index_id,content_index,id
seo_content_calendar,post_id,blog_posts,id
seo_content_calendar,neighborhood_id,neighborhoods,id
seo_content_calendar,pillar_id,pillars,id
sponsors,content_index_id,content_index,id
sponsors,neighborhood_focus,neighborhoods,id
sponsors,category_focus,categories,id
sponsors,business_id,business_listings,id
stories,neighborhood_id,neighborhoods,id
stories,pillar_id,pillars,id
stories,city_id,cities,id
stories,category_id,categories,id
story_businesses,story_id,stories,id
story_businesses,business_id,business_listings,id
story_neighborhoods,neighborhood_id,neighborhoods,id
story_neighborhoods,story_id,stories,id
submissions,reviewed_by,users,id
submissions,submitted_by,users,id
subscriptions,business_id,business_listings,id
subscriptions,user_id,users,id
tier_changes,admin_user_id,users,id
tier_changes,business_id,business_listings,id
tier_changes,subscription_id,subscriptions,id
users,city_id,cities,id
users,neighborhood_id,neighborhoods,id
watchlist,city_id,cities,id
watchlist,neighborhood_id,neighborhoods,id
watchlist_posts,watchlist_id,watchlist,id
watchlist_posts,post_id,blog_posts,id
watchlist_stories,story_id,stories,id
watchlist_stories,watchlist_id,watchlist,id
